,date,URL,content,numF,emotion
0,2020-03-05,https://weibo.cn/comment/hot/Ixg55evxV?rl=2,周总理生日快乐，抓住尾巴,559,neutral
1,2020-03-05,https://weibo.cn/comment/hot/Ixg55evxV?rl=2,巴铁没毛病！！！铁子！！！,344,neutral
2,2020-03-05,https://weibo.cn/comment/hot/Ixg55evxV?rl=2,希望中巴友谊天长地久,271,hopeful
3,2020-03-05,https://weibo.cn/comment/hot/Ixd8OsEaY?rl=2,🇺🇸 ：我就是不要脸,1041,angry
4,2020-03-05,https://weibo.cn/comment/hot/Ixd8OsEaY?rl=2,疫情的源头还没调查清楚，中国和世界各国都在努力抗击疫情，保护家园。而美国媒体呢？在这搬弄是非，抹黑中国，一点做人的良知都没有吗？美国媒体跟地痞流氓有什么区别,748,angry
5,2020-03-05,https://weibo.cn/comment/hot/Ixd8OsEaY?rl=2,2009年美国发生猪流感疫情，美国政府面对疫情一筹莫展，只能放任疫情蔓延，最后美国有六千万人感染，1.2万人死亡。当时世卫组织宣布猪流感为国际紧急公共安全事件后，美国发出威胁“任何国家限制美国人和商品流动都将面临美国的严厉制裁”，最后猪流感扩散到214个国家和地区，超过28万人死亡 。,683,angry
6,2020-03-05,https://weibo.cn/comment/hot/Ixd8OsEaY?rl=2,西班牙流感，1918年开始流行，而后两年内席卷全球，造成数千万人死亡。由于西班牙第一个诚实地报出本国爆发了流感疫情，得名“西班牙流感”。后经研究，该流感发源于美军堪萨斯州赖利堡的芬斯顿训练营，由美军带到欧洲大地。,120,worry
7,2020-03-05,https://weibo.cn/comment/hot/Ixd8OsEaY?rl=2,中国外交部的回应从来就没让我们中国人失望过。,355,neutral
8,2020-03-05,https://weibo.cn/comment/hot/Ixd8OsEaY?rl=2,美国你还要脸吗？,183,angry
9,2020-03-04,https://weibo.cn/comment/hot/Ix3jAzo5N?rl=2,在监狱建方仓医院找了几百民工，怎么想的，后来盖不住了，几百人放回家，济宁周围地市都戒严，一个老鼠屎害了了济宁，害了济宁周边，害了山东,3,suspicious
10,2020-03-04,https://weibo.cn/comment/hot/Ix3jAzo5N?rl=2,害人害己，希望可以严惩,158,angry
11,2020-03-04,https://weibo.cn/comment/hot/Ix3jAzo5N?rl=2,疏于职守,65,neutral
12,2020-03-04,https://weibo.cn/comment/hot/Ix3jAzo5N?rl=2,坚决拥护党中央的英明领导！,64,neutral
13,2020-03-04,https://weibo.cn/comment/hot/Ix3jAzo5N?rl=2,为政法系统查明事实真相点赞！,73,neutral
14,2020-03-04,https://weibo.cn/comment/hot/Ix3jAzo5N?rl=2,一查到底！,40,neutral
15,2020-03-04,https://weibo.cn/comment/hot/Ix3jAzo5N?rl=2,严查到底，大快人心,28,angry
16,2020-03-04,https://weibo.cn/comment/hot/Ix3jAzo5N?rl=2,对于玩忽职守 疫情期间不把生命安全当回事的 我们要坚决制止 一查到底,28,shock
17,2020-03-04,https://weibo.cn/comment/hot/Ix3TJxGXz?rl=2,这次疫情跟中国野生动物关系大吗？,93,neutral
18,2020-03-04,https://weibo.cn/comment/hot/Ix3TJxGXz?rl=2,境外输入一定得比湖北还严格才行！他们带来的有可能不止新冠病毒。,53,neutral
19,2020-03-04,https://weibo.cn/comment/hot/Ix3TJxGXz?rl=2,疫情初期家里老人都不认同中国是源头，我们虽然是爆发地，但源头有待考察，有些事情不是看到的那么简单，当然也有可能正好是最荒谬那个想法。,5,unsatisfied
20,2020-03-04,https://weibo.cn/comment/hot/Ix3TJxGXz?rl=2,钟老都说了不一定是在中国发源的,146,worry
21,2020-03-04,https://weibo.cn/comment/hot/Ix3TJxGXz?rl=2,坚决抵制，严防境外输入！！⚠️,80,neutral
22,2020-03-04,https://weibo.cn/comment/hot/Ix4nrnOwH?rl=2,顺延不就是延期毕业吗！到时候签了的工作都入不了职，就黄了,3,neutral
23,2020-03-04,https://weibo.cn/comment/hot/Ix4nrnOwH?rl=2,本科生呢？！！！,49,neutral
24,2020-03-04,https://weibo.cn/comment/hot/Ix4unkAs0?rl=2,愣着干啥 鼓掌啊,7044,neutral
25,2020-03-04,https://weibo.cn/comment/hot/Ix4unkAs0?rl=2,为我省鼓掌！但不要放松嗷！,3697,neutral
26,2020-03-04,https://weibo.cn/comment/hot/Ix4unkAs0?rl=2,能不能先把快递通了…所有快递除了顺丰邮政全压在哈尔滨了…20来个件…天天看哪个快自动收货了…东西很多都要冻碎了…,9,angry
27,2020-03-04,https://weibo.cn/comment/hot/Ix4Bt2S8t?rl=2,好棒！,15,satisfied
28,2020-03-04,https://weibo.cn/comment/hot/Ix4Bt2S8t?rl=2,他们值得被铭记！感想他们,6,hopeful
29,2020-03-04,https://weibo.cn/comment/hot/Ix4Bt2S8t?rl=2,#为她写诗# 敬赠抗疫一线志愿者护士  可叹一去千百里， 可敬恩泽亿万家。 可怜蓄发六七载， 可贵中华最美花。  ,9,satisfied
30,2020-03-04,https://weibo.cn/comment/hot/Ix4Bt2S8t?rl=2,致敬！！,6,moved
31,2020-03-05,https://weibo.cn/comment/hot/Ix4Bt2S8t?rl=2,何惧千山远，归来万里春,2,hopeful
32,2020-03-04,https://weibo.cn/comment/hot/Ix5wg6sFD?rl=2,向白衣天使致敬！他们冷静而不冷漠，坚韧并且执着。尊重每一个生命，善待每一位患者。坚信曙光就在眼前！,51,moved
33,2020-03-04,https://weibo.cn/comment/hot/Ix5wg6sFD?rl=2,湖北加油！武汉加油！中国加油！！！,3,hopeful
