,date,URL,content,numF,emotion
0,2020-02-07,https://weibo.cn/comment/hot/It5Rhbf0I?rl=2,1、多数人是真的想让国家重视这些事并解决。2、有人只想蹭热度，不关心事件本身3、公知和有心人故意的。4、被公知带偏的大众跟着不故意的。与物资和医护人员无关，希望大家坚守我们的1发声和监督，提防234，新闻具有时效性，要关注后续，不要极端思考，有理有据讨论问题。武汉加油。,570,worry
1,2020-02-07,https://weibo.cn/comment/hot/It5Rhbf0I?rl=2,能不能关注关注青岛，每天都有那种迷幻确诊病例，青岛官方根本不公布行程轨迹，现在官方号不允许评论，青岛卫健委装瞎，无言以对,14,unsatisfied
2,2020-02-07,https://weibo.cn/comment/hot/It5Rhbf0I?rl=2,太感人了！！！,24,neutral
3,2020-02-07,https://weibo.cn/comment/hot/It5LQ318b?rl=2,家庭聚集……有的也真不可避免……,6502,unsatisfied
4,2020-02-07,https://weibo.cn/comment/hot/It5LQ318b?rl=2,我们公司开始催我们上班了……,3795,unsatisfied
5,2020-02-07,https://weibo.cn/comment/hot/It5LQ318b?rl=2,上海人流量那么大，不聚集是不可能的,2025,neutral
6,2020-02-07,https://weibo.cn/comment/hot/It5LQ318b?rl=2,评论里很多人还是不懂啊，聚集性≠聚会,1863,neutral
7,2020-02-07,https://weibo.cn/comment/hot/It5LQ318b?rl=2,同事和家庭。能怎么办呢。都是上班感染了又传给家人，但又不能不上班。,571,unsatisfied
8,2020-02-07,https://weibo.cn/comment/hot/It5LQ318b?rl=2,上海公司要求10号必须到公司上班，瑟瑟发抖,57,unsatisfied
9,2020-02-07,https://weibo.cn/comment/hot/It6F7sj2C?rl=2,复兴医院的案例真是太不应该了,300,suspicious
10,2020-02-07,https://weibo.cn/comment/hot/It6F7sj2C?rl=2,加油。争取出院人数越来越多,123,hopeful
11,2020-02-07,https://weibo.cn/comment/hot/It6F7sj2C?rl=2,还是尽量减少外出 多多注意防范,62,neutral
12,2020-02-07,https://weibo.cn/comment/hot/It6F7sj2C?rl=2,2020不平凡的一年，2020过得最辛苦的就是医护人员，愿善良的人永远健康，疫情面前她们始终冲在前面，这个时代最勇敢白衣战士。致敬最美的逆行者，谢谢你们，感恩你们！,61,moved
13,2020-02-07,https://weibo.cn/comment/hot/It6F7sj2C?rl=2,你好，郑州部分单位复工，让回去隔离，可是郑州小区不让进，谁管？？有人管么？发的文件小区都不执行，也没人管么？？？求关注！！！谢谢！！,40,angry
14,2020-02-07,https://weibo.cn/comment/hot/It6F7sj2C?rl=2,再延期复工一周好不好。这种去上班，感觉就不是高爆了，是炸裂了。,53,neutral
15,2020-02-07,https://weibo.cn/comment/hot/It6F7sj2C?rl=2,希望入院人数越来越少，出院人数越来越多🙏,29,hopeful
16,2020-02-07,https://weibo.cn/comment/hot/It7DJwOl3?rl=2,八十多岁高龄老人还这么累，让人心疼啊，保重身体！🙏🙏🙏,808,sad
17,2020-02-07,https://weibo.cn/comment/hot/It7DJwOl3?rl=2,瘦了，也憔悴了，保重,339,neutral
18,2020-02-07,https://weibo.cn/comment/hot/It7Y3vElC?rl=2,谢谢！辛苦您们！致敬！,84,moved
