2020-06-19,北京加油！！！
2020-06-19,【#你好，明天#“北京疫情已经控制住了”，有关专家在新闻发布会上的这一表述，鼓舞人心。】
2020-06-19,煎饼果子希望炸酱面快快好起来呀
2020-06-19,大家一起加油💪
2020-06-19,北京加油！一切都会好起来的
2020-06-19,辛苦了
2020-06-19,北京加油
2020-06-19,好
2020-06-19,致敬
2020-06-19,希望远在北京的亲友都能平安健康
2020-06-18,有了出京核酸检测阴性，到其他城市还需要隔离14天吗@人民日报
2020-06-18,所以每天从北京坐城际回天津的人都有核酸证明吧嘛？
2020-06-18,共同战疫 争取早日打败病毒[加油]
2020-06-18,非常时期，安全第一🙏🙏🙏
2020-06-18,支持！四肢都支持！
2020-06-18,突然觉得在中国好幸福
2020-06-18,严格是对的，加油北京[加油]
2020-06-18,一起加油🙏共同战疫[加油]北京加油[加油]一切都会好！
2020-06-18,住天津，在北京上班的日常通勤怎么办？在低风险地区，不能每七天就做一次核酸检测吧？而且现在预约都预约不到
2020-06-18,很到位了，严防严控，一起努力
2020-06-18,能不能再强调一下口罩的问题！现在北京很多人不戴口罩，马路上有，办公区竟然也有！能理解现在很多企业不愿意轻易开始居家办公，甚至以办公区够大为理由不开始50%现场办公，但是！能不能至少人人戴上口罩？！很多人已经完全不自觉了！社区物业不检查，公司行政不好意思提醒，就装傻！真的很不安全啊！
2020-06-18,北京加油
2020-06-18,北京加油！[加油]
2020-06-18,中风险地区每周上六天班，哪来的到岗率下调，
2020-06-18,北京战役，我们一起努力。做好自己，保护好自己就是对他人负责！
2020-06-18,医护人员辛苦了！共抗疫情，北京加油
2020-06-18,政府发文不严谨，现在企事业单位根本没有办法执行！严格执行的就说严格执行，不要发模棱两可的指令！现在是否需要远程办公，廊坊，燕郊，香河的人是否可以进京办公？现在各街道，各小区，各区域管控都不一致，企业怎么判定？
2020-06-18,北京加油！
2020-06-18,核酸检测根本预约不上，无论北京还是小县城。北三县通勤的怎么办，不可能在北京住旅馆吧，希望出台政策，这个人口基数可不少
2020-06-18,来吧，怎么有用怎么来，我们配合工作
2020-06-18,这不是北京。。是隶属河北保定市 由雄安新区托管的一个县城
2020-06-18,北京加油，雄安加油。🙏🙏🙏🙏
2020-06-18,科普  1安新县属于雄安新区，不是北京。2安新县由于传统文化很多人从事水产行业。3北京新发地市场水产海鲜安新人很多 4安新县目前已经好几例接触新发地确诊病例 评论里不要拿你的无知来秀，疫情期间大家共同加油
2020-06-18,这个绝对支持，在北京的人一定要听从指挥，不要到处乱跑哦，保持自我警惕
2020-06-18,那么艰难的日子都挺过去了，没有什么坎是跨不过的。
2020-06-18,识大体，顾大局，携手应对
2020-06-18,雄安加油 安新加油！！(我们不属北京，请不要把我们当作北京的附属品)
2020-06-18,河北加油 北京加油
2020-06-18,就突然有点崩，很难受，我是毕业生，眼看我们学校就要开学去收拾行李了，也许见同学们就是最后一面，但是现在我可能就回不去了，真的很难受，太难受了，但是自己也知道这是没有办法的事，真的太难受了
2020-06-18,一天两场发布会？看来形势异常严峻啊
2020-06-18,取消摇号，容军，你丫看得见吗？
2020-06-18,能不能别限号了，感觉坐车没有开车安全，现在还在限号中，那么就有一天要去坐公交和地铁上班，太不安全了
2020-06-18,交通委容军，请不要装睡，请取消摇号，无车家庭受够了你们的摇号恶政，新政就是一堆废纸，应当万人唾弃
2020-06-18,请问容军主任，你2014年说的摇号政策不会长久，会适时退出，到底何时兑现？眼看这又要继续摇号十年了，你们还能要点脸吗？
2020-06-18,严防严控！北京加油！
2020-06-18,北京小客车摇号新政就是废纸一张：北京市交通委罔顾无车家庭主流民意，执意在新政中继续坚持摇号，这一所谓新政对无车家庭人%权肆意侵犯、严重践踏无车家庭的消费权，严重伤害无车家庭感情，我们重申，摇号不是公开公平公正的，而是无耻和无底线的，开车上路是无车家庭的基本权利，任何部门无权剥夺
2020-06-18,北京市交通委出台的摇号新政和外地车、皮卡限制政策，完全站在了百万无车家庭的对立面，站在了外地车和皮卡车主的对立面，站在了道义和良知的对立面，是既得利益者令人作呕的把戏，所谓的小客车摇号新政就是废纸一张，必将被正义的力量扫进垃圾堆。
2020-06-18,今天上午单位刚做了相应的部署，社区也在全力排查。身在高危区，对这次抗疫特别有信心呀！政府把很多工作做在了前面，完全是在和疫情赛跑，而且跑在前面。
2020-06-18,服了，李记川菜这个是前几天就知道的，今天又说了一遍，还是没有新信息。你让我们不信谣不传谣，你要把信息都公布明白了，哪来的谣？网上出现谣言还不是你们什么都不公布造成的。@首都健康
2020-06-18,加油啊  北京
