2020-03-05,https://weibo.cn/comment/hot/Ixg55evxV?rl=2,巴铁，真铁，这才叫老铁 真的好,961
2020-03-05,https://weibo.cn/comment/hot/Ixg55evxV?rl=2,周总理生日快乐，抓住尾巴,559
2020-03-05,https://weibo.cn/comment/hot/Ixg55evxV?rl=2,巴铁没毛病！！！铁子！！！,344
2020-03-05,https://weibo.cn/comment/hot/Ixg55evxV?rl=2,希望中巴友谊天长地久,271
2020-03-05,https://weibo.cn/comment/hot/Ixd8OsEaY?rl=2,🇺🇸 ：我就是不要脸,1041
2020-03-05,https://weibo.cn/comment/hot/Ixd8OsEaY?rl=2,疫情的源头还没调查清楚，中国和世界各国都在努力抗击疫情，保护家园。而美国媒体呢？在这搬弄是非，抹黑中国，一点做人的良知都没有吗？美国媒体跟地痞流氓有什么区别,748
2020-03-05,https://weibo.cn/comment/hot/Ixd8OsEaY?rl=2,2009年美国发生猪流感疫情，美国政府面对疫情一筹莫展，只能放任疫情蔓延，最后美国有六千万人感染，1.2万人死亡。当时世卫组织宣布猪流感为国际紧急公共安全事件后，美国发出威胁“任何国家限制美国人和商品流动都将面临美国的严厉制裁”，最后猪流感扩散到214个国家和地区，超过28万人死亡 。,683
2020-03-05,https://weibo.cn/comment/hot/Ixd8OsEaY?rl=2,西班牙流感，1918年开始流行，而后两年内席卷全球，造成数千万人死亡。由于西班牙第一个诚实地报出本国爆发了流感疫情，得名“西班牙流感”。后经研究，该流感发源于美军堪萨斯州赖利堡的芬斯顿训练营，由美军带到欧洲大地。,120
2020-03-05,https://weibo.cn/comment/hot/Ixd8OsEaY?rl=2,中国外交部的回应从来就没让我们中国人失望过。,355
2020-03-05,https://weibo.cn/comment/hot/Ixd8OsEaY?rl=2,美国你还要脸吗？,183
2020-03-04,https://weibo.cn/comment/hot/Ix3jAzo5N?rl=2,在监狱建方仓医院找了几百民工，怎么想的，后来盖不住了，几百人放回家，济宁周围地市都戒严，一个老鼠屎害了了济宁，害了济宁周边，害了山东,3
2020-03-04,https://weibo.cn/comment/hot/Ix3jAzo5N?rl=2,害人害己，希望可以严惩,158
2020-03-04,https://weibo.cn/comment/hot/Ix3jAzo5N?rl=2,疏于职守,65
2020-03-04,https://weibo.cn/comment/hot/Ix3jAzo5N?rl=2,坚决拥护党中央的英明领导！,64
2020-03-04,https://weibo.cn/comment/hot/Ix3jAzo5N?rl=2,为政法系统查明事实真相点赞！,73
