2020-06-18,#你好，明天#,【#你好，明天#】“北京疫情已经控制住了”，有关专家在新闻发布会上的这一表述，鼓舞人心。该判断应是基于专业分析，有其依据。但是，更应清晰而清醒地看到，当前疫情形势严峻复杂，防控处于紧要关头。一篙松劲退千寻，不能麻痹大意。拉响警报、主动出击，全力以赴、分秒必争，防控仍需加把劲！ 
2020-06-18,#吴尊友回应北京疫情是否控制住#,#吴尊友回应北京疫情是否控制住#【#吴尊友称北京疫情已控制住# 并不意味着不再新增病例】6月18日下午，中国疾控中心流行病学首席专家吴尊友表示，目前北京的疫情已经控制住了。每天报告病例，并不等于新感染的。明后天还会有病例出现，应该是对既往病例的检测发现。新感染只是零星的。 
2020-06-18,#19日起北京所有省际客运班线全部停运#,【#19日起北京所有省际客运班线全部停运#】6月18日下午，北京召开第125场新冠肺炎疫情防控工作新闻发布会。北京市交通委员会副主任、新闻发言人容军介绍，6月19日起，北京所有省际客运站运营的省际班线将全部停运，已购买车票旅客全额退款。（王昊男） 
2020-06-18,#北京已发生8起与新发地相关聚集性疫情#,【#北京已发生8起与新发地相关聚集性疫情#】#北京公布与新发地有关的聚集性典型案例#： 北京某餐馆有员工7人，其中2人为厨师，1人为采购兼厨师，1人配菜兼收货，3人为服务员，7人每日活动范围固定，每日9时至22时在餐厅工作，剩余时间在同一住所居住休息，其中某男37岁为该餐馆采购员兼厨师，负责到新发地市场进行采购，其余6人均未到过新发地市场，但与采购员某男和采自新发地市场的物品有密切的接触。截至6月17日某男所在的餐厅全部7名员工均诊断为确诊病例。在此提示市民朋友，新冠病毒传染性强、传播途径复杂，大家应提高防范意识，自觉遵守北京市疫情防控各项要求，服从社区防控管理，如近期曾去过新发地市场请不要随意外出，与他人保持一米以上社交距离，在住所工作场所等封闭空间内，注意规范佩戴口罩，保持室内定期通风，减少疫情传播的风险。http://t.cn/A6LxtiMS
2020-06-18,#北京抗疫#,#北京抗疫#【正在直播！#北京疫情防控情况发布会#】6月18日下午，北京召开疫情防控第125场例行新闻发布会，介绍有关情况，并答记者问。@人民日报 联合@北京日报都视频 正在直播↓↓关注！ 人民日报的微博视频 . 
